# iperf3 -p 5201 -c 10.45.0.5 -b 45M -t 0 --logfile /tmp/iperf3.log &
# Radar_Char,prf=150,gain=60,cFreq=3408100000.0,PW=0.00045000000000000004,T=20,bw=1000000.0,sampRate=20000000.0
# gnb_config,gnb_id=411,gnb_id_bit_length=32,log={"filename":"/tmp/gnb.log","all_level":"info","lib_level":"warning","e2ap_level":"warning","config_level":"info","tracing_filename":"/tmp/tracing.log","rrc_level":"debug","ngap_level":"info","sec_level":"warning","pdcp_level":"warning","sdap_level":"warning","cu_level":"warning","mac_level":"warning","rlc_level":"warning","f1ap_level":"warning","f1u_level":"warning","gtpu_level":"warning","du_level":"warning","f1ap_json_enabled":false,"fapi_level":"warning","hal_level":"warning","broadcast_enabled":false,"ofh_level":"warning","radio_level":"info","phy_level":"warning"},metrics={"autostart_stdout_metrics":true,"enable_log":true},cu_cp={"amf":{"addr":"127.0.0.5","port":38412,"bind_addr":"127.0.0.5","supported_tracking_areas":"tac: 1\nplmn_list:\n  - plmn: 00101\n    tai_slice_support_list:\n      - sst: 1"},"mobility":{"trigger_handover_from_measurements":true,"cells":[{"nr_cell_id":6576,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6577,"report_configs":[2]}]},{"nr_cell_id":6577,"periodic_report_cfg_id":1,"ncells":[{"nr_cell_id":6576,"report_configs":[2]}]}],"report_configs":[{"report_cfg_id":1,"report_type":"periodical","report_interval_ms":480},{"report_cfg_id":2,"report_type":"event_triggered","event_triggered_report_type":"a3","meas_trigger_quantity":"rsrp","meas_trigger_quantity_offset_db":3,"hysteresis_db":0,"time_to_trigger_ms":100}]}},pcap={"ngap_filename":"/tmp/gnb_ngap.pcap","ngap_enable":false,"f1ap_filename":"/tmp/gnb_f1ap.pcap","f1ap_enable":false,"mac_filename":"/tmp/gnb_mac.pcap","mac_enable":false},cell_cfg={"pci":1,"dl_arfcn":627340,"band":78,"common_scs":30,"channel_bandwidth_MHz":20,"plmn":65,"tac":1,"ssb":{"ssb_block_power_dbm":-25},"pdsch":{"olla_target_bler":0.1},"pucch":{"p0_nominal":-84}},ru_sdr={"srate":23.04,"device_driver":"uhd","device_args":"type=b200,serial=315AF4C,num_recv_frames=64,num_send_frames=64","tx_gain":75,"rx_gain":60,"clock":"external","otw_format":"sc12"}
time,nof_prbs,nof_dl_slots,nof_ul_slots,nof_prach_preambles,error_indications,pdsch_rbs_per_slot,pusch_rbs_per_slot,pdschs_per_slot,puschs_per_slot,failed_pdcch,failed_uci,nof_ues,mean_latency,max_latency,max_latency_slot,total_dl_brate,total_ul_brate,max_crc_delay,max_ce_delay,max_pucch_harq_delay,max_pusch_harq_delay,events,slot,type,rnti,pci,cqi,dl_ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_error_rate,dl_bs,dl_nof_prbs,dl_olla,pusch_snr_db,pusch_rsrp_db,ul_ri,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,ul_error_rate,ul_nof_prbs,bsr,sr_count,f0f1_invalid_harqs,f2f3f4_invalid_harqs,f2f3f4_invalid_csis,pusch_invalid_harqs,pusch_invalid_csis,ul_olla,ta,srs_ta,last_phr,avg_ul_ce_delay,max_ul_ce_delay,avg_crc_delay,avg_pusch_harq_delay,avg_pucch_harq_delay,ue_nof_prbs,ue_nof_dl_slots,ue_nof_ul_slots,ue_nof_prach_preambles,ue_error_indications,ue_pdsch_rbs_per_slot,ue_pusch_rbs_per_slot,ue_pdschs_per_slot,ue_puschs_per_slot,ue_failed_pdcch,ue_failed_uci,ue_nof_ues,ue_mean_latency,ue_max_latency,ue_max_latency_slot,ue_total_dl_brate,ue_total_ul_brate,ue_max_crc_delay,ue_max_ce_delay,ue_max_pucch_harq_delay,ue_max_pusch_harq_delay,ue_events,ue_slot,ue_type,ue_rnti,ue_pci,ue_cqi,ue_dl_ri,ue_dl_mcs,ue_dl_brate,ue_dl_nof_ok,ue_dl_nof_nok,ue_dl_error_rate,ue_dl_bs,ue_dl_nof_prbs,ue_dl_olla,ue_pusch_snr_db,ue_pusch_rsrp_db,ue_ul_ri,ue_ul_mcs,ue_ul_brate,ue_ul_nof_ok,ue_ul_nof_nok,ue_ul_error_rate,ue_ul_nof_prbs,ue_bsr,ue_sr_count,ue_f0f1_invalid_harqs,ue_f2f3f4_invalid_harqs,ue_f2f3f4_invalid_csis,ue_pusch_invalid_harqs,ue_pusch_invalid_csis,ue_ul_olla,ue_ta,ue_srs_ta,ue_last_phr,ue_avg_ul_ce_delay,ue_max_ul_ce_delay,ue_avg_crc_delay,ue_avg_pusch_harq_delay,ue_avg_pucch_harq_delay,ue_id,c_rnti,dl_rsrp,dl_rsrq,dl_sinr,ID,Transfer,Bitrate,Retr,Cwnd
2025-06-03 07:08:23.848510,51,1400,600,0,0,48,0,1,0.0833,0,0,1,13usec,65usec,1004.12,30Mbps,339kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,9,1.0,16,30Mbps,1216,184,13%,2.23M,68498,0.7564156,33.1,ovl,1,27,339kbps,50,0,0%,350,0,50,1,0,0,0,0,0,140ns,n/a,1,4.45ms,4.5ms,4.27ms,4.02ms,3.93ms,0,4601,-106.0,-11.0,17.5,6.0,3.62,30.4,0.0,2.3
2025-06-03 07:08:24.848442,51,1400,600,0,0,48,0,1,0.0833,0,0,1,13usec,41usec,123.16,29Mbps,339kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,9,1.0,16,29Mbps,1249,151,10%,2.14M,68582,0.49740094,33.1,ovl,1,27,339kbps,50,0,0%,350,0,50,0,0,0,0,0,0,146ns,n/a,1,4.46ms,4.5ms,4.23ms,4.02ms,3.94ms,0,4601,-106.0,-11.0,16.0,6.0,4.88,40.9,0.0,2.3
2025-06-03 07:08:25.848574,51,1400,600,0,0,49,0,1,0.113,0,0,1,13usec,43usec,152.6,37Mbps,470kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,10,1.0,18,37Mbps,1370,30,2%,2.23M,69090,1.4474118,33.2,ovl,1,27,470kbps,68,0,0%,485,142,29,0,0,0,0,0,0,155ns,n/a,1,4.43ms,4.5ms,4.23ms,4.01ms,3.95ms,0,4601,-105.0,-11.0,18.0,6.0,5.12,43.0,0.0,2.3
2025-06-03 07:08:26.848371,51,1400,600,0,0,49,0,1,0.0967,0,0,1,12usec,33usec,246.1,44Mbps,395kbps,4.5ms,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4ms,,,,4601,1,12,1.0,22,44Mbps,1246,154,11%,2.27M,69011,,33.5,ovl,1,27,395kbps,58,0,0%,408,0,40,0,0,0,0,0,0,161ns,n/a,1,4.45ms,4.5ms,4.2ms,4ms,3.94ms,0,4601,-105.0,-10.5,18.5,6.0,5.12,43.0,0.0,2.3
2025-06-03 07:08:27.848431,51,1400,600,0,0,49,0,1,0.0833,0,0,1,12usec,39usec,402.16,45Mbps,339kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,12,1.0,23,45Mbps,1246,154,11%,2.23M,68987,,32.9,ovl,1,27,339kbps,50,0,0%,350,0,48,0,0,0,0,0,0,321ns,n/a,1,4.42ms,4.5ms,4.24ms,4.01ms,3.94ms,0,4601,-105.0,-11.0,18.5,6.0,5.12,43.0,0.0,2.3
2025-06-03 07:08:28.848443,51,1400,600,0,0,49,0,1,0.0833,0,0,1,12usec,40usec,442.16,45Mbps,339kbps,4.5ms,4.5ms,4ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,4.5ms,,,,4601,1,12,1.0,23,45Mbps,1269,131,9%,2.34M,68997,,32.4,ovl,1,27,339kbps,50,0,0%,350,0,47,0,0,0,0,0,0,383ns,n/a,1,4.48ms,4.5ms,4.3ms,4.04ms,3.94ms,0,4601,-105.0,-11.0,18.0,6.0,4.12,42.7,0.0,2.3
2025-06-03 07:08:29.848369,51,1400,600,0,0,49,0,1,0.0833,0,0,1,12usec,34usec,537.1,45Mbps,339kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,12,1.0,23,45Mbps,1272,128,9%,2.18M,69049,1.0135918,32.4,ovl,1,27,339kbps,50,0,0%,350,0,46,0,0,0,0,0,0,381ns,n/a,1,4.47ms,4.5ms,4.31ms,4.04ms,3.94ms,0,4601,-105.0,-10.5,18.0,,,,,
2025-06-03 07:08:30.848367,51,1400,600,0,0,35,0,0.729,0.0683,0,0,1,11usec,34usec,694.10,33Mbps,270kbps,4.5ms,4.5ms,4.5ms,4.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4.5ms,4.5ms,,,,4601,1,12,1.0,23,33Mbps,936,94,9%,0,49985,1.0026158,33.4,ovl,1,27,270kbps,41,0,0%,279,0,38,0,0,0,0,0,0,177ns,n/a,3,4.47ms,4.5ms,4.23ms,4.01ms,3.93ms,0,4601,-105.0,-11.0,18.0,,,,,
2025-06-03 07:08:31.848266,51,1400,600,0,0,0,0,0.00429,0.00667,0,0,1,8usec,31usec,808.0,7.0kbps,19kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,n/a,,,,4601,1,12,1.0,23,7.8kbps,5,1,16%,0,12,0.9976159,35.2,ovl,1,27,19kbps,4,0,0%,20,0,4,0,0,0,0,0,0,155ns,n/a,3,4.5ms,4.5ms,4.5ms,n/a,4ms,0,4601,-105.0,-11.0,18.0,,,,,
2025-06-03 07:08:32.848303,51,1400,600,0,0,0,0,0.00214,0.00333,0,0,1,8usec,28usec,857.13,2.0kbps,9.0kbps,4.5ms,4.5ms,4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5ms,,4ms,n/a,,,,4601,1,11,1.0,20,2.5kbps,2,1,33%,0,6,0.99061584,34.6,ovl,1,27,9.7kbps,2,0,0%,10,0,2,0,0,0,0,0,0,141ns,n/a,3,4.5ms,4.5ms,4.25ms,n/a,4ms,0,4601,-108.0,-10.5,15.5,,,,,
